Home Win %,Visitor Win %,Home Won
0.619,0.599,1
0.586,0.654,1
0.407,0.595,0
0.411,0.561,0
0.423,0.484,1
0.463,0.459,0
0.443,0.736,1
0.659,0.589,0
0.264,0.484,0
0.528,0.346,1
0.638,0.402,1
0.602,0.419,1
0.598,0.614,1
0.598,0.447,1
0.523,0.427,0
0.673,0.463,0
0.738,0.593,1
0.596,0.642,0
0.617,0.556,1
0.6,0.585,1
0.661,0.48,1
0.657,0.609,1
0.527,0.423,1
0.733,0.596,0
0.676,0.459,1
0.599,0.637,1
0.603,0.58,1
0.62,0.552,1
0.663,0.476,1
0.66,0.604,1
0.419,0.53,0
0.64,0.594,1
0.592,0.735,0
0.455,0.678,0
0.547,0.623,0
0.583,0.598,1
0.415,0.532,0
0.636,0.597,0
0.472,0.665,0
0.599,0.663,0
0.543,0.626,0
0.587,0.737,0
0.451,0.68,0
0.579,0.601,0
0.468,0.667,0
0.603,0.658,1
0.682,0.447,1
0.535,0.411,1
0.599,0.631,1
0.603,0.574,1
0.66,0.598,1
0.732,0.59,0
0.634,0.594,1
0.586,0.734,0
0.685,0.53,1
0.597,0.63,1
0.661,0.629,0
0.737,0.655,1
0.679,0.533,0
0.6,0.598,1
0.663,0.625,1
0.739,0.651,1
0.595,0.601,0
0.536,0.674,1
0.62,0.665,0
0.604,0.59,1
0.653,0.734,1
0.531,0.676,0
0.599,0.593,0
0.615,0.667,0
0.656,0.729,1
0.678,0.527,1
0.595,0.594,1
0.669,0.611,1
0.731,0.651,1
0.53,0.673,1
0.597,0.591,1
0.647,0.733,0
0.586,0.599,0
0.675,0.525,1
0.736,0.595,1
0.671,0.67,1
0.738,0.59,1
0.673,0.666,1
0.586,0.74,0
0.668,0.667,1
0.582,0.742,0
0.67,0.662,1
0.657,0.672,0
0.674,0.652,1
0.676,0.737,1
0.671,0.739,0
0.734,0.673,0
0.73,0.675,0
0.671,0.732,0
0.727,0.673,0
